date,value
1800,13601.3302569
1810,15081.5532508
1820,16498.8370297
1830,18257.7821223
1840,20240.6701807
1850,22258.2114323
1860,24096.3882099
1870,27097.1039199
1880,31049.7464058
1890,35355.4821296
1900,44170.4063302
1910,54485.4237401
1920,62260.5942371
1930,75103.3746175
1940,90845.8532923
1950,107989.39
1960,129650.327
1970,152810.544
1980,164960.522
1990,172642.17
2000,175971.588
